Crop,Growth_Stage,Soil_Type,N,P,K,pH,Recommended_Fertilizer
Brinjal,Flowering,Sandy Loam,60.8,39.2,41.5,6.68,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,62.9,30.3,54.2,6.54,Seaweed Extract + Bone Meal
Brinjal,Seedling,Sandy Loam,31.1,17.7,17.5,6.51,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,33.7,18,23.8,7.18,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,26.7,15.8,18.6,6.83,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,63.8,30.2,85.6,6.86,Vermicompost
Brinjal,Fruiting,Black Soil,58,28.4,86.2,7.11,Cow Manure Compost
Brinjal,Fruiting,Black Soil,49.9,37.9,79.5,7.32,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Reddish Soil,52.1,32.6,72.4,6.73,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Flowering,Black Soil,64.2,38.4,45.3,6.58,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Vegetative,Black Soil,66.4,28.2,39.1,6.72,Seaweed Extract
Brinjal,Seedling,Sandy Loam,25.6,13.6,10.8,6.89,Jeevamrut
Brinjal,Seedling,Sandy Loam,25,16.7,13.2,6.79,Vermicompost
Brinjal,Fruiting,Sandy Loam,47.9,28.8,85.8,6.46,Wood Ash (Organic Potash)
Brinjal,Fruiting,Black Soil,63.5,35.9,68.1,7.2,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Black Soil,33.8,10.1,18.3,7.24,Jeevamrut
Brinjal,Flowering,Reddish Soil,54.2,30.2,54.9,6.28,Vermicompost + Bone Meal
Brinjal,Flowering,Reddish Soil,67.9,49.4,52.2,6.11,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Sandy Loam,27.8,13.6,23.1,6.59,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Fruiting,Sandy Loam,52.6,31.8,78.6,7.09,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Brinjal,Seedling,Reddish Soil,22.6,11.1,18.6,6.86,Jeevamrut
Coriander,Fruiting,Reddish Soil,25,19.2,28.8,6.6,Cow Manure Compost
Coriander,Flowering,Black Soil,47.3,19.3,24.2,7.48,Vermicompost
Coriander,Fruiting,Reddish Soil,38.8,17.7,24.4,6.98,Vermicompost
Coriander,Vegetative,Black Soil,40.6,15.5,21.6,7.01,Vermicompost
Coriander,Flowering,Reddish Soil,40.2,22.8,18.2,6.72,Seaweed Extract
Coriander,Fruiting,Sandy Loam,25.1,21.1,29.4,6.53,Wood Ash (Organic Potash)
Coriander,Flowering,Reddish Soil,46.3,25.2,28.3,6.45,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,11,8.4,13.3,6.32,Cow Manure Compost + Urea (46% N) (small dose)
Coriander,Seedling,Sandy Loam,16.4,7.3,6.6,6.84,Jeevamrut
Coriander,Seedling,Sandy Loam,22.5,6.1,10.3,6.94,Cow Manure Compost
Coriander,Fruiting,Black Soil,31.5,16.7,22.1,7.32,Vermicompost
Coriander,Vegetative,Reddish Soil,44.3,19.2,21.5,6.34,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,42.5,11.6,12.5,6.41,Neem Cake
Coriander,Seedling,Black Soil,23.7,10.6,12.5,6.97,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,22.3,10.9,8.6,7.04,Vermicompost
Coriander,Fruiting,Black Soil,25.7,23.8,30.8,7.27,Cow Manure Compost
Coriander,Flowering,Black Soil,40.5,22.7,16.3,7.16,Seaweed Extract
Coriander,Flowering,Reddish Soil,41.3,25.5,27,6.72,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,11.7,9.9,11.5,7.05,Vermicompost + Urea (46% N) (small dose)
Coriander,Seedling,Reddish Soil,20.6,14.4,8.2,6.64,Jeevamrut
Coriander,Flowering,Black Soil,49.9,23.2,22.1,7.45,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,10.9,14.3,7,7.11,Vermicompost + Urea (46% N) (small dose)
Coriander,Seedling,Sandy Loam,23.5,8.8,8.2,7.04,Cow Manure Compost
Coriander,Fruiting,Reddish Soil,32.5,24.1,33.5,6.4,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,23.4,11.3,15.7,6.93,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Black Soil,31.8,16.9,32,7.07,Wood Ash (Organic Potash)
Coriander,Vegetative,Black Soil,36.2,15.1,12.9,7.44,Neem Cake
Coriander,Vegetative,Sandy Loam,25.9,17.8,15.2,6.3,Vermicompost + Urea (46% N) (small dose)
Coriander,Seedling,Sandy Loam,24.4,13.7,6.9,6.92,Cow Manure Compost
Coriander,Fruiting,Reddish Soil,33.5,18.4,33.8,6.19,Cow Manure Compost
Coriander,Fruiting,Black Soil,36.3,18.1,30.3,6.85,Vermicompost
Coriander,Vegetative,Reddish Soil,41.5,11.1,16.5,6.82,Seaweed Extract
Coriander,Fruiting,Black Soil,39.5,23.6,34.1,6.51,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Sandy Loam,39.7,19.4,23.6,6.84,Vermicompost
Coriander,Seedling,Sandy Loam,19.7,9.3,13.4,6.78,Jeevamrut
Coriander,Fruiting,Sandy Loam,31.9,19.3,25.3,6.23,Cow Manure Compost
Coriander,Fruiting,Sandy Loam,38.8,26.7,32.2,6.77,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Sandy Loam,31.1,19.8,22.2,6.2,Vermicompost
Coriander,Flowering,Sandy Loam,39.1,19.2,28.7,6.59,Bone Meal
Coriander,Flowering,Reddish Soil,48.7,25.7,28.9,6.8,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Sandy Loam,28.8,20.3,31.1,6.69,Vermicompost
Coriander,Flowering,Sandy Loam,42.3,28.9,22.5,7.09,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Black Soil,30.1,29.4,32,6.96,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Black Soil,42.7,22.8,21.5,6.69,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,20.3,9,17.6,6.1,Vermicompost
Coriander,Seedling,Sandy Loam,15.5,13,8,6.25,Vermicompost
Coriander,Flowering,Black Soil,48,18.3,24.4,6.89,Bone Meal
Coriander,Vegetative,Black Soil,41,21.8,16.7,7.49,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Reddish Soil,41.5,27.6,25.8,6.13,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,12.8,10.8,9.8,6.73,Cow Manure Compost + Urea (46% N) (small dose)
Coriander,Seedling,Black Soil,13.3,6.6,14.6,6.89,Cow Manure Compost + Urea (46% N) (small dose)
Coriander,Vegetative,Black Soil,32.7,17.1,23.3,6.91,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,16.5,6.5,13.1,6.76,Cow Manure Compost
Coriander,Seedling,Reddish Soil,10,12.6,15,6.75,Jeevamrut + Urea (46% N) (small dose)
Coriander,Fruiting,Black Soil,38.1,20.1,24.9,6.54,Wood Ash (Organic Potash)
Coriander,Seedling,Black Soil,24,14.4,17.6,6.63,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,34.3,20.5,21.6,6.86,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Reddish Soil,46.5,25.3,23,6.24,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,14.4,13.3,11.8,6.85,Vermicompost
Coriander,Vegetative,Black Soil,25.7,11,15.3,7.04,Vermicompost + Urea (46% N) (small dose)
Coriander,Vegetative,Reddish Soil,38.1,16.6,20.5,6.05,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Reddish Soil,28.9,17.1,20.9,6.63,Seaweed Extract
Coriander,Seedling,Black Soil,21.8,9,16.6,7.11,Cow Manure Compost
Coriander,Flowering,Black Soil,36.9,25.3,22.5,6.69,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,18.1,11.4,13.3,6.39,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,20.8,6.6,11.6,7.33,Cow Manure Compost
Coriander,Flowering,Black Soil,47.2,17.4,22.7,7.1,Vermicompost + Bone Meal
Coriander,Seedling,Sandy Loam,18.1,13.2,16.1,6.6,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Reddish Soil,33.3,18,28.3,6.91,Seaweed Extract
Coriander,Seedling,Reddish Soil,23.9,11.7,15.5,6.17,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,23.3,14.2,17.5,6.77,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Sandy Loam,45,23.6,19.7,6.95,Vermicompost
Coriander,Seedling,Black Soil,22.6,13.1,10,7.04,Cow Manure Compost
Coriander,Fruiting,Sandy Loam,33.1,19.1,30.3,7.18,Wood Ash (Organic Potash)
Coriander,Flowering,Sandy Loam,34.3,27.5,25.6,7.16,Bone Meal
Coriander,Fruiting,Sandy Loam,39.1,16.6,21.5,7.05,Wood Ash (Organic Potash) + MOP (small dose)
Coriander,Seedling,Black Soil,23.9,9.2,11.5,7.48,Vermicompost
Coriander,Vegetative,Reddish Soil,26.9,24.1,22.7,6.86,Seaweed Extract + Urea (46% N) (small dose)
Coriander,Flowering,Reddish Soil,33.7,16.8,28.1,6.94,Vermicompost + Bone Meal
Coriander,Vegetative,Sandy Loam,39.3,10.2,16.1,6.98,Seaweed Extract
Coriander,Seedling,Reddish Soil,24.8,13.1,17.9,6.97,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,15.1,15,15.9,6.88,Jeevamrut
Coriander,Vegetative,Sandy Loam,28,15.2,12.6,6.92,Vermicompost
Coriander,Flowering,Sandy Loam,49.5,29.5,20.2,7.19,Vermicompost
Coriander,Vegetative,Black Soil,42.8,22.5,19.9,6.89,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,13.6,8.4,11.9,6.62,Jeevamrut + Urea (46% N) (small dose)
Coriander,Seedling,Reddish Soil,17.5,11.4,9.6,6.2,Cow Manure Compost
Coriander,Vegetative,Sandy Loam,36.9,15.4,12.3,6.3,Neem Cake
Coriander,Fruiting,Sandy Loam,30.3,22.4,33.8,6.68,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,30.7,24.6,22.4,6.98,Wood Ash (Organic Potash)
Coriander,Flowering,Reddish Soil,47.8,29.5,16.1,6.47,Bone Meal
Coriander,Seedling,Black Soil,19.2,8.2,16.4,6.83,Cow Manure Compost
Coriander,Fruiting,Black Soil,30.7,25.8,33.3,6.51,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,36.1,27.5,31.3,6.14,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Black Soil,35.7,10.3,14.1,7.14,Vermicompost
Coriander,Flowering,Sandy Loam,37.3,26.9,26.1,7.13,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,17.9,6.3,6.5,7.11,Vermicompost
Coriander,Seedling,Black Soil,22.4,10.1,12.3,7.48,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,41.6,18.8,20.6,6.85,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Sandy Loam,40,24.7,30.4,6.69,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Reddish Soil,38.5,28.9,17.5,6.27,Bone Meal
Coriander,Fruiting,Reddish Soil,30.9,26,33.8,6.25,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Reddish Soil,29.6,10.7,19.4,6.34,Neem Cake
Coriander,Vegetative,Sandy Loam,26.6,23.4,23.3,7.2,Seaweed Extract + Urea (46% N) (small dose)
Coriander,Fruiting,Sandy Loam,29.1,23.7,20.9,6.35,Vermicompost + MOP (small dose)
Coriander,Fruiting,Reddish Soil,27.4,18.5,21.1,6.92,Vermicompost + MOP (small dose)
Coriander,Vegetative,Sandy Loam,42.5,14.1,16.4,7.13,Neem Cake
Coriander,Vegetative,Sandy Loam,38.4,21,22.6,6.98,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Black Soil,42,28.9,21,6.82,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Sandy Loam,27.1,21.8,25.8,6.98,Cow Manure Compost
Coriander,Vegetative,Black Soil,39,25,21.2,7.26,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,10.5,8.2,8.3,6.5,Cow Manure Compost + Urea (46% N) (small dose)
Coriander,Fruiting,Reddish Soil,38.2,26.8,26.1,6.98,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,31.8,14.6,21.4,6.5,Neem Cake
Coriander,Seedling,Reddish Soil,21.2,14.3,13.8,6.97,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Black Soil,33.9,15.4,12.2,7.02,Seaweed Extract
Coriander,Fruiting,Reddish Soil,29.8,19,29.8,6.56,Wood Ash (Organic Potash)
Coriander,Vegetative,Reddish Soil,39.8,11.1,24,6.97,Vermicompost
Coriander,Flowering,Reddish Soil,39,20,29.4,6.82,Bone Meal
Coriander,Flowering,Reddish Soil,32.1,23,16.5,6.79,Vermicompost
Coriander,Flowering,Sandy Loam,34.1,26.7,27.1,7.02,Bone Meal
Coriander,Vegetative,Reddish Soil,40.6,12.6,22.2,6.66,Neem Cake
Coriander,Flowering,Black Soil,35.3,18.5,22.7,6.82,Seaweed Extract
Coriander,Flowering,Black Soil,47.2,15.9,22.9,7.04,Vermicompost + Bone Meal
Coriander,Vegetative,Sandy Loam,32.3,16.5,17,7.16,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Sandy Loam,38.5,17.3,29.6,6.44,Seaweed Extract + Bone Meal
Coriander,Vegetative,Sandy Loam,27.1,20.2,22.1,6.7,Vermicompost + Urea (46% N) (small dose)
Coriander,Seedling,Reddish Soil,22.9,9.2,9.9,6.52,Jeevamrut
Coriander,Seedling,Black Soil,11.2,11.1,6.2,6.91,Vermicompost + Urea (46% N) (small dose)
Coriander,Fruiting,Reddish Soil,37.9,23.2,26.2,6.11,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Black Soil,33.3,18.8,25.6,6.6,Cow Manure Compost
Coriander,Flowering,Black Soil,43.1,16.1,24.1,7.43,Bone Meal
Coriander,Vegetative,Sandy Loam,37.7,12.8,14.2,7.07,Neem Cake
Coriander,Vegetative,Black Soil,33.2,19,25,6.99,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Sandy Loam,40.1,19.9,24.9,7.2,Seaweed Extract
Coriander,Seedling,Black Soil,17.4,10.2,17.5,6.93,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Black Soil,40.7,15,19.7,7.22,Vermicompost
Coriander,Vegetative,Reddish Soil,38.4,13.9,15.2,6.71,Vermicompost
Coriander,Flowering,Sandy Loam,46.8,26.4,24,7.16,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,18.2,6.8,18,7.4,Cow Manure Compost
Coriander,Vegetative,Reddish Soil,34.9,18.8,16.7,6.61,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Reddish Soil,32.8,16.5,13,6.5,Seaweed Extract
Coriander,Flowering,Reddish Soil,46.2,23.4,23.2,6.96,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Black Soil,48.8,24.8,18.5,6.75,Seaweed Extract
Coriander,Seedling,Black Soil,22.1,11.9,8.3,6.8,Cow Manure Compost
Coriander,Seedling,Sandy Loam,16.9,7.3,14.7,6.39,Cow Manure Compost
Coriander,Fruiting,Reddish Soil,27.8,23.3,30.8,6.9,Cow Manure Compost
Coriander,Vegetative,Reddish Soil,43.1,16.1,23,6.16,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,20.2,6.8,13.5,6.48,Jeevamrut
Coriander,Flowering,Reddish Soil,33.3,15.6,17.5,6.45,Seaweed Extract + Bone Meal
Coriander,Fruiting,Reddish Soil,39.8,19.2,33.9,7,Wood Ash (Organic Potash)
Coriander,Seedling,Sandy Loam,20.9,11.5,7.4,6.36,Vermicompost
Coriander,Vegetative,Black Soil,40.5,22.6,16.8,7.26,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,36,21.8,15.7,6.38,Neem Cake
Coriander,Vegetative,Reddish Soil,30.1,19.6,23.2,6.92,Vermicompost
Coriander,Fruiting,Reddish Soil,36,25.4,31.9,6.26,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,24.3,8.5,14.8,6.78,Jeevamrut
Coriander,Seedling,Reddish Soil,21.7,9,11.7,6.8,Vermicompost
Coriander,Seedling,Sandy Loam,15.9,13.7,15.1,6.72,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Sandy Loam,33.2,28.4,19.4,6.93,Vermicompost
Coriander,Fruiting,Reddish Soil,35.8,26.3,23.3,6.5,Wood Ash (Organic Potash)
Coriander,Fruiting,Sandy Loam,36.2,17.8,23.5,6.99,Wood Ash (Organic Potash)
Coriander,Flowering,Sandy Loam,43.8,28.4,28.1,7.18,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Black Soil,32.9,12,18.6,7.19,Neem Cake
Coriander,Fruiting,Sandy Loam,26.6,28.4,28.8,7.13,Wood Ash (Organic Potash)
Coriander,Seedling,Reddish Soil,19.7,14.5,9.4,6.6,Vermicompost
Coriander,Flowering,Sandy Loam,47.2,20,18.9,6.94,Seaweed Extract
Coriander,Flowering,Reddish Soil,44.5,16.1,25.2,6.69,Vermicompost + Bone Meal
Coriander,Seedling,Sandy Loam,13.6,8.5,16.8,6.67,Jeevamrut + Urea (46% N) (small dose)
Coriander,Flowering,Black Soil,32.6,27.6,26.2,6.7,Bone Meal
Coriander,Vegetative,Black Soil,31.5,14.3,18.8,6.58,Neem Cake
Coriander,Flowering,Black Soil,30.4,27.1,22.4,6.81,Vermicompost
Coriander,Seedling,Reddish Soil,16.2,9.8,7.1,6.2,Cow Manure Compost
Coriander,Seedling,Sandy Loam,10.3,10.9,14.7,6.82,Vermicompost + Urea (46% N) (small dose)
Coriander,Fruiting,Sandy Loam,29.1,15.8,33.7,7.08,Wood Ash (Organic Potash)
Coriander,Fruiting,Sandy Loam,34.7,25.7,24.2,6.2,Cow Manure Compost
Coriander,Vegetative,Black Soil,32.7,21.6,17.6,6.83,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,37.3,17,22.5,6.97,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,38.1,27.3,29,6.75,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Sandy Loam,17.4,10,17.7,7.19,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,27.7,16.7,32.6,6.78,Wood Ash (Organic Potash)
Coriander,Seedling,Black Soil,11.6,13.1,8,6.54,Cow Manure Compost + Urea (46% N) (small dose)
Coriander,Fruiting,Sandy Loam,37.6,25.7,25.3,6.93,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Reddish Soil,38.9,20.6,20.9,6.39,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Sandy Loam,47.7,26.8,24.4,6.54,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,32.6,27.1,28.2,6.27,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Black Soil,41.7,25.5,22.9,7.33,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,27.4,13.2,14.2,6.27,Vermicompost + Urea (46% N) (small dose)
Coriander,Seedling,Black Soil,22.3,11,11.8,7.34,Jeevamrut + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Black Soil,33.1,21.8,28.1,7.07,Seaweed Extract
Coriander,Vegetative,Black Soil,43.8,11.7,21.2,7.35,Neem Cake
Coriander,Seedling,Black Soil,17.1,10.6,16,7.24,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,21.4,13.7,9.1,6.91,Vermicompost
Coriander,Vegetative,Black Soil,35,13.6,19.7,6.94,Vermicompost
Coriander,Vegetative,Sandy Loam,42.8,19.3,24.9,7.02,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,41.5,20.6,13.7,6.87,Seaweed Extract
Coriander,Flowering,Reddish Soil,40.6,29.4,16.3,6.68,Vermicompost
Coriander,Flowering,Reddish Soil,40.5,17.1,23.6,6.09,Bone Meal
Coriander,Vegetative,Black Soil,43.9,23.8,20.9,6.97,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,34.5,14,21.3,7.16,Neem Cake
Coriander,Vegetative,Reddish Soil,40.2,18.5,23.1,6.89,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Reddish Soil,38.5,21.3,15.2,6.67,Seaweed Extract
Coriander,Fruiting,Reddish Soil,32,28.6,34,6.9,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Sandy Loam,40.4,25.1,15.7,6.42,Vermicompost
Coriander,Vegetative,Black Soil,38.4,23.4,12.7,7.1,Neem Cake
Coriander,Flowering,Black Soil,49.8,22.2,18.4,6.88,Bone Meal
Coriander,Fruiting,Black Soil,25.3,26.4,25.4,7.24,Wood Ash (Organic Potash)
Coriander,Fruiting,Sandy Loam,32.7,27.5,26.4,6.62,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,34.1,25.2,27.6,6.69,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Reddish Soil,29.9,22.5,29.4,6.23,Wood Ash (Organic Potash) + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Reddish Soil,26.2,23.8,14.3,6.53,Vermicompost + Urea (46% N) (small dose)
Coriander,Flowering,Black Soil,32.2,15.5,24.9,7.11,Vermicompost + Bone Meal
Coriander,Fruiting,Reddish Soil,34.3,16.2,30.4,6.38,Wood Ash (Organic Potash)
Coriander,Vegetative,Black Soil,29.9,19,15.3,6.83,Seaweed Extract
Coriander,Flowering,Black Soil,39.2,20.1,22,6.81,Bone Meal
Coriander,Flowering,Black Soil,48.8,21,18.1,7.05,Bone Meal
Coriander,Seedling,Sandy Loam,16.3,11.1,17.4,6.31,Cow Manure Compost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Vegetative,Sandy Loam,41.5,16.8,17,6.44,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Sandy Loam,28.5,21.8,22.8,6.57,Vermicompost
Coriander,Flowering,Reddish Soil,42.2,26.5,26.1,6.66,Bone Meal + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,22.2,13.6,9.1,6.33,Cow Manure Compost
Coriander,Flowering,Sandy Loam,47.1,15.8,28.2,7.05,Seaweed Extract + Bone Meal
Coriander,Fruiting,Sandy Loam,26.6,29.9,24.5,6.28,Cow Manure Compost
Coriander,Flowering,Reddish Soil,39.2,24.6,16.5,6.9,Seaweed Extract
Coriander,Vegetative,Black Soil,44.1,13.2,18.6,7.18,Seaweed Extract
Coriander,Flowering,Reddish Soil,42.2,16.7,19.4,6.97,Seaweed Extract + Bone Meal
Coriander,Flowering,Reddish Soil,48.8,18,15.6,6.49,Seaweed Extract
Coriander,Seedling,Reddish Soil,13.2,10.8,8.1,6.63,Cow Manure Compost + Urea (46% N) (small dose)
Coriander,Seedling,Sandy Loam,19.6,13.3,10.2,6.8,Jeevamrut
Coriander,Vegetative,Sandy Loam,33.4,19.8,18.6,6.93,Seaweed Extract + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Flowering,Reddish Soil,37.4,17.2,22.6,6.46,Bone Meal
Coriander,Flowering,Reddish Soil,41.4,26.7,26.9,6.26,Vermicompost + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Black Soil,24,14.9,10.8,7.49,Cow Manure Compost
Coriander,Seedling,Reddish Soil,17.8,9.4,6.5,6.34,Vermicompost
Coriander,Seedling,Reddish Soil,10.9,11.3,10.2,6.84,Vermicompost + Urea (46% N) (small dose)
Coriander,Seedling,Reddish Soil,15.5,9.7,13.5,6.91,Vermicompost
Coriander,Vegetative,Sandy Loam,26.1,15.6,21.4,6.53,Seaweed Extract + Urea (46% N) (small dose)
Coriander,Vegetative,Black Soil,39.3,22.1,17.9,7.01,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Seedling,Reddish Soil,20.8,8.5,14.6,6.56,Cow Manure Compost
Coriander,Fruiting,Sandy Loam,27.7,19.9,28.1,6.37,Vermicompost
Coriander,Fruiting,Black Soil,27.4,28.6,23.5,6.79,Cow Manure Compost
Coriander,Seedling,Reddish Soil,19.3,7.6,11,6.48,Jeevamrut
Coriander,Fruiting,Reddish Soil,26.7,22.1,23.7,6.35,Wood Ash (Organic Potash)
Coriander,Seedling,Sandy Loam,13.7,6.1,11.2,6.56,Vermicompost + Urea (46% N) (small dose)
Coriander,Fruiting,Reddish Soil,25.5,23.1,33.8,6.6,Vermicompost
Coriander,Vegetative,Black Soil,38.4,22.8,24.2,7.08,Neem Cake + NPK 19-19-19 (Water-Soluble) (diluted)
Coriander,Fruiting,Black Soil,26.3,29.8,28.8,6.76,Vermicompost
Coriander,Seedling,Black Soil,10.9,10.4,15.3,6.65,Vermicompost + Urea (46% N) (small dose)
