District,Month,Soil_Type,N,P,K,pH,Temperature_C,Humidity_%,Rainfall_mm,Sunlight_lux,Recommended_Crop
Sangli,August,Loamy,80,47,43,6.09,29,83,71,38219,Chilli
Sangli,July,Loamy,91,42,44,5.59,25,50,71,60951,Chilli
Sangli,January,Loamy,94,34,32,6.45,24,63,56,60945,Chilli
Sangli,April,Black,93,43,40,6.27,28,78,49,58668,Chilli
Solapur,September,Red,65,31,32,6.53,22,45,53,46450,Chilli
Sangli,January,Red,78,48,38,6.61,24,80,46,63539,Chilli
Solapur,January,Red,77,37,44,6.42,21,80,79,36303,Chilli
Sangli,February,Red,86,36,41,5.76,23,58,66,33372,Chilli
Sangli,May,Loamy,89,31,37,6.71,29,67,43,30079,Chilli
Solapur,October,Red,69,42,38,6.41,22,75,58,65391,Chilli
Sangli,March,Red,72,33,39,6.78,24,56,57,51614,Chilli
Solapur,June,Loamy,65,47,45,5.57,20,69,82,53731,Chilli
Solapur,July,Black,78,43,32,5.95,24,56,67,68549,Chilli
Solapur,November,Loamy,96,42,48,5.62,27,49,59,43140,Chilli
Sangli,June,Black,85,41,40,6.56,20,57,46,54511,Chilli
Sangli,June,Loamy,75,48,48,6.18,26,51,79,49266,Chilli
Sangli,December,Red,83,44,43,5.77,21,53,57,39729,Chilli
Solapur,April,Red,70,35,41,6.57,26,40,80,53557,Chilli
Solapur,March,Black,69,48,35,6.24,27,77,56,54146,Chilli
Solapur,January,Loamy,90,32,31,5.9,27,84,89,38444,Chilli
Sangli,January,Black,80,49,36,6.13,29,75,61,56521,Chilli
Solapur,July,Red,85,37,45,6.63,27,48,42,62276,Chilli
Solapur,August,Black,75,39,40,6.3,24,50,68,58140,Chilli
Solapur,June,Loamy,79,31,31,5.94,22,73,88,45437,Chilli
Sangli,December,Black,69,46,42,6.27,27,75,68,31979,Chilli
Solapur,October,Loamy,86,40,36,5.82,23,53,81,61177,Chilli
Solapur,December,Red,85,38,34,6.62,26,46,48,49202,Chilli
Sangli,January,Red,81,43,42,5.57,22,65,41,67968,Chilli
Sangli,February,Loamy,98,47,42,6.53,26,63,68,35743,Chilli
Solapur,August,Red,74,30,46,6.49,29,73,70,63149,Chilli
Solapur,May,Loamy,96,44,44,6.73,24,67,72,53102,Chilli
Sangli,July,Red,68,44,37,6.72,23,69,84,40760,Chilli
Solapur,November,Red,67,49,47,6.67,29,71,87,55443,Chilli
Sangli,May,Red,91,34,45,6.44,28,63,64,38764,Chilli
Sangli,March,Red,94,46,43,5.68,25,43,50,50526,Chilli
Solapur,August,Red,93,34,42,6.35,26,81,77,35811,Chilli
Sangli,August,Loamy,77,31,45,6.38,25,40,82,52769,Chilli
Sangli,February,Red,60,48,45,6.14,20,62,80,34321,Chilli
Solapur,September,Red,65,34,37,6.27,24,51,46,36668,Chilli
Solapur,April,Red,62,41,30,6.64,21,52,56,66039,Chilli
Sangli,April,Loamy,76,31,32,6.79,29,63,57,59233,Chilli
Sangli,July,Black,82,34,30,6.48,20,49,70,64456,Chilli
Sangli,September,Red,74,42,47,5.84,25,53,89,59473,Chilli
Solapur,May,Black,74,41,38,5.67,24,82,77,65271,Chilli
Sangli,March,Red,75,48,38,6.27,25,67,43,45026,Chilli
Solapur,February,Loamy,91,33,38,6.33,24,41,85,39442,Chilli
Sangli,December,Loamy,95,30,38,6.79,20,40,81,68767,Chilli
Solapur,September,Loamy,83,32,41,6.17,20,71,46,31094,Chilli
Sangli,May,Red,99,45,45,6.57,26,76,62,31354,Chilli
Sangli,September,Black,92,49,30,5.87,21,75,66,69698,Chilli
Solapur,May,Loamy,88,39,37,6.37,24,51,52,36229,Chilli
Sangli,January,Red,97,40,42,5.59,20,50,82,38103,Chilli
Sangli,March,Loamy,65,37,34,6.42,20,77,48,51961,Chilli
Sangli,October,Black,86,45,33,6.22,20,42,62,67777,Chilli
Solapur,September,Black,64,37,32,6.7,22,79,41,37770,Chilli
Sangli,July,Black,94,38,34,6.49,20,60,87,31694,Chilli
Sangli,June,Loamy,93,46,44,5.69,29,77,71,31460,Chilli
Sangli,May,Loamy,65,43,45,5.77,21,77,80,49558,Chilli
Sangli,March,Loamy,84,33,45,6.69,24,66,73,37562,Chilli
Solapur,May,Red,73,42,36,6.06,26,55,82,43598,Chilli
Solapur,November,Black,88,37,30,6.69,22,60,80,56196,Chilli
Solapur,October,Loamy,70,30,49,6.71,27,51,71,57022,Chilli
Solapur,June,Loamy,64,34,47,5.77,25,73,43,67096,Chilli
Solapur,October,Red,81,44,30,5.55,29,63,60,60511,Chilli
Sangli,February,Loamy,84,36,48,6.59,27,53,40,43570,Chilli
Solapur,December,Red,74,33,32,6.05,24,65,64,40249,Chilli
Sangli,December,Red,62,47,37,6.53,25,62,70,36220,Chilli
Solapur,December,Loamy,77,42,44,6.46,25,80,81,39864,Chilli
Solapur,November,Loamy,90,31,43,6.25,24,58,77,46283,Chilli
Sangli,October,Loamy,89,32,30,6.14,24,58,81,67693,Chilli
Sangli,September,Black,97,38,34,6.03,29,73,76,43408,Chilli
Solapur,October,Black,84,38,32,5.94,25,59,88,59550,Chilli
Sangli,September,Black,92,30,36,5.79,24,54,60,65160,Chilli
Solapur,August,Red,66,47,48,6.12,27,84,89,46983,Chilli
Solapur,September,Loamy,60,37,41,6.62,24,63,89,64512,Chilli
Solapur,April,Black,94,49,48,6.32,27,40,63,57607,Chilli
Solapur,March,Red,85,39,41,6.09,23,84,56,48429,Chilli
Solapur,May,Black,98,45,37,6.4,22,50,51,66288,Chilli
Solapur,December,Red,73,42,45,6.58,29,42,43,68230,Chilli
Solapur,February,Loamy,69,40,48,5.64,24,75,63,42453,Chilli
Solapur,June,Loamy,69,40,35,5.54,22,76,86,35614,Chilli
Sangli,July,Loamy,85,46,44,6.35,23,61,56,52480,Chilli
Sangli,January,Red,85,42,45,5.7,25,63,75,64274,Chilli
Sangli,April,Red,65,34,38,6.16,22,82,54,30567,Chilli
Solapur,August,Loamy,78,48,38,6.5,29,48,58,43582,Chilli
Solapur,February,Red,78,46,49,5.62,21,56,57,65137,Chilli
Solapur,January,Loamy,69,34,45,5.67,27,51,75,42190,Chilli
Solapur,June,Loamy,68,41,44,5.68,28,69,46,55654,Chilli
Sangli,April,Loamy,99,35,39,6.23,26,75,74,33543,Chilli
Solapur,April,Black,79,46,36,5.58,29,75,82,36781,Chilli
Solapur,November,Loamy,71,30,33,6.49,27,54,70,51008,Chilli
Sangli,June,Loamy,85,43,41,5.83,22,52,57,43162,Chilli
Sangli,June,Black,78,43,44,5.65,22,58,59,30024,Chilli
Solapur,August,Black,94,43,36,6.2,22,73,88,32472,Chilli
Sangli,June,Loamy,80,38,34,6.66,28,58,81,60985,Chilli
Solapur,August,Red,98,36,33,6.65,25,48,74,61545,Chilli
Solapur,March,Red,66,39,41,5.63,29,64,68,37543,Chilli
Sangli,March,Loamy,99,41,49,6.54,29,41,84,31432,Chilli
Solapur,August,Loamy,70,33,46,6.45,26,82,46,53258,Chilli
Solapur,March,Black,91,42,41,5.97,20,53,86,45935,Chilli
Solapur,August,Red,76,33,49,6.33,20,80,84,50055,Chilli
Sangli,February,Loamy,74,46,42,6.51,22,62,86,60886,Chilli
Solapur,October,Black,73,48,45,6.56,24,42,88,45409,Chilli
Sangli,May,Loamy,81,47,45,6.06,27,82,47,39013,Chilli
Sangli,July,Black,90,41,38,6.01,21,69,71,44823,Chilli
Solapur,November,Red,79,48,33,6.43,29,63,52,66476,Chilli
Sangli,May,Red,88,33,36,6.78,20,52,63,62437,Chilli
Solapur,October,Loamy,80,41,30,5.9,25,53,77,35024,Chilli
Sangli,June,Red,74,43,45,5.74,22,72,75,42375,Chilli
Sangli,April,Red,93,33,44,6.6,21,46,86,59482,Chilli
Solapur,August,Black,94,34,47,5.93,24,58,48,52127,Chilli
Sangli,April,Red,91,32,34,6.42,27,76,78,45852,Chilli
Sangli,March,Loamy,79,34,38,5.74,22,79,46,63924,Chilli
Solapur,October,Black,66,40,38,6.34,28,42,61,57431,Chilli
Solapur,April,Loamy,66,49,42,6.18,27,79,52,30051,Chilli
Sangli,July,Black,71,46,30,6.67,21,45,83,59305,Chilli
Solapur,May,Loamy,77,37,36,6.55,28,68,62,66308,Chilli
Sangli,May,Loamy,85,34,48,5.76,28,64,85,50812,Chilli
Sangli,October,Black,82,41,48,6.13,27,52,79,59295,Chilli
Sangli,June,Loamy,71,36,48,6.32,28,82,87,47130,Chilli
Sangli,November,Black,63,47,48,6.05,29,76,42,43785,Chilli
Sangli,August,Loamy,78,43,44,6.65,24,40,45,68938,Chilli
Solapur,December,Black,61,34,38,6.33,21,61,47,46968,Chilli
Solapur,February,Loamy,75,34,44,6.7,25,53,58,69383,Chilli
Sangli,December,Red,62,31,42,6.69,24,54,71,35972,Chilli
Sangli,January,Red,91,47,44,6.04,22,76,82,62040,Chilli
Solapur,September,Black,84,43,34,5.93,25,79,73,30018,Chilli
Solapur,September,Black,64,48,33,5.95,26,57,60,65614,Chilli
Solapur,March,Loamy,84,37,30,6.65,26,47,58,53440,Chilli
Solapur,September,Black,70,35,38,5.58,23,41,43,38177,Chilli
Sangli,January,Loamy,62,37,34,6.72,24,61,76,45611,Chilli
Solapur,December,Red,72,49,32,5.97,25,50,50,48260,Chilli
Sangli,May,Loamy,76,45,43,6.13,20,50,52,51921,Chilli
Solapur,May,Red,96,44,36,5.74,25,73,55,47906,Chilli
Solapur,April,Red,65,37,32,5.9,20,73,84,37944,Chilli
Solapur,December,Red,69,47,41,6.15,26,45,63,63400,Chilli
Sangli,May,Red,90,44,38,5.95,27,73,57,41659,Chilli
Solapur,July,Black,99,35,30,5.74,23,68,77,46110,Chilli
Sangli,June,Loamy,67,30,42,5.67,21,52,61,54509,Chilli
Sangli,November,Loamy,81,33,46,5.56,29,68,45,64929,Chilli
Solapur,April,Loamy,99,39,40,6.13,27,59,89,64234,Chilli
Solapur,January,Black,83,37,32,5.89,28,55,48,49856,Chilli
Solapur,July,Red,89,36,45,6.01,21,51,84,41246,Chilli
Solapur,October,Black,67,45,32,5.95,22,41,72,62711,Chilli
Sangli,September,Black,99,46,38,6.64,26,63,52,39909,Chilli
Sangli,July,Loamy,87,43,46,6.19,29,73,87,52741,Chilli
Sangli,June,Black,96,36,42,6.57,24,71,55,55582,Chilli
Solapur,June,Loamy,99,42,34,5.54,23,83,54,31753,Chilli
Solapur,January,Loamy,79,42,35,6.03,20,55,75,44418,Chilli
Solapur,February,Red,87,33,30,5.61,21,55,84,41443,Chilli
Sangli,January,Loamy,82,40,39,6.43,27,49,53,65533,Chilli
Solapur,July,Loamy,81,33,31,6.75,22,46,51,64754,Chilli
Solapur,May,Red,95,36,36,5.76,27,51,49,33582,Chilli
Sangli,September,Red,89,34,30,6.16,23,50,65,38645,Chilli
Sangli,November,Black,70,37,39,6.19,20,71,50,36103,Chilli
Solapur,May,Loamy,88,45,45,5.96,28,76,47,38988,Chilli
Sangli,September,Red,82,31,32,6.71,24,73,71,46756,Chilli
Solapur,September,Red,98,36,43,6.54,26,57,77,37021,Chilli
Sangli,January,Black,75,39,39,5.82,27,58,86,58223,Chilli
Sangli,August,Loamy,68,46,37,6.2,23,45,55,59048,Chilli
Solapur,July,Black,76,49,34,6.77,22,52,53,49439,Chilli
Solapur,February,Red,98,34,43,6.73,26,67,85,59400,Chilli
Sangli,September,Red,76,49,33,6.75,22,76,72,60312,Chilli
Sangli,August,Loamy,61,30,41,6.46,29,56,82,56488,Chilli
Solapur,September,Black,82,40,33,5.79,28,46,55,47528,Chilli
Solapur,June,Loamy,60,45,47,5.8,20,49,46,56916,Chilli
Sangli,June,Red,73,40,48,5.58,27,52,78,42587,Chilli
Sangli,August,Red,87,33,41,5.9,25,75,59,64457,Chilli
Sangli,August,Red,81,38,34,6.71,21,41,46,49427,Chilli
Solapur,April,Red,89,40,32,5.73,22,54,56,42550,Chilli
Sangli,May,Red,92,42,45,6.79,28,60,80,64247,Chilli
Sangli,March,Red,64,46,34,6.39,28,67,70,43520,Chilli
Solapur,August,Red,88,39,47,5.8,21,46,69,42342,Chilli
Sangli,July,Black,80,36,30,5.76,23,59,49,47803,Chilli
Sangli,January,Black,64,23,23,6.7,22,65,44,50147,Spinach
Solapur,September,Red,52,31,20,7.34,24,41,47,66748,Spinach
Solapur,August,Red,51,23,20,6.31,22,73,63,46047,Spinach
Solapur,April,Red,69,39,33,6.39,21,46,79,61516,Spinach
Solapur,February,Loamy,40,36,39,7.1,22,76,36,62726,Spinach
Sangli,April,Black,68,33,29,6.69,20,68,54,36073,Spinach
Sangli,February,Red,52,22,37,7.16,19,58,45,57139,Spinach
Solapur,July,Loamy,40,35,34,7.09,18,72,46,52724,Spinach
Sangli,May,Red,46,32,31,6.86,23,43,52,49262,Spinach
Sangli,May,Red,63,34,38,7.22,16,51,44,37506,Spinach
Sangli,August,Black,44,24,25,6.65,19,72,72,32196,Spinach
Sangli,January,Loamy,54,36,27,6.24,24,67,63,35004,Spinach
Sangli,May,Black,45,34,30,6.82,23,71,40,33846,Spinach
Sangli,January,Black,40,22,27,6.82,15,40,67,49674,Spinach
Sangli,March,Red,51,29,21,6.38,20,84,45,56979,Spinach
Sangli,November,Loamy,53,22,38,7.01,15,44,78,47952,Spinach
Solapur,March,Loamy,45,34,23,6.05,22,66,78,61818,Spinach
Solapur,July,Black,48,33,34,6.56,15,73,47,52481,Spinach
Sangli,April,Black,54,29,23,6.73,19,48,34,60858,Spinach
Solapur,November,Red,46,20,25,6.58,22,78,62,55832,Spinach
Solapur,March,Red,62,30,22,6.24,17,61,64,51972,Spinach
Solapur,July,Red,40,26,39,7.15,20,75,50,49885,Spinach
Solapur,April,Red,43,30,35,7.01,16,40,30,69269,Spinach
Solapur,July,Black,60,37,32,7.04,23,72,62,59126,Spinach
Sangli,December,Loamy,60,31,35,6.53,24,53,68,35207,Spinach
Sangli,September,Black,48,27,39,6.18,18,57,33,45535,Spinach
Sangli,June,Loamy,57,34,27,6.91,21,74,35,36773,Spinach
Sangli,May,Black,63,34,31,6.84,21,61,56,51734,Spinach
Solapur,September,Loamy,65,32,22,6.79,21,75,78,54453,Spinach
Solapur,June,Red,41,36,22,6.7,16,61,58,63339,Spinach
Sangli,May,Red,49,28,32,6.61,18,70,78,67410,Spinach
Solapur,July,Black,47,20,27,7.35,16,47,71,37750,Spinach
Solapur,June,Black,54,30,33,7.23,16,83,76,47711,Spinach
Solapur,August,Black,44,31,25,6.09,24,70,66,52696,Spinach
Solapur,October,Black,68,38,31,6.74,15,56,62,61796,Spinach
Sangli,August,Red,52,35,21,6.19,17,84,48,38396,Spinach
Solapur,April,Loamy,57,25,38,6.25,18,43,68,60598,Spinach
Sangli,July,Red,55,35,24,6.79,18,71,53,35656,Spinach
Solapur,December,Loamy,46,31,28,6.32,21,57,68,69358,Spinach
Solapur,May,Red,67,30,34,6.37,23,42,59,47111,Spinach
Sangli,April,Loamy,61,27,23,6.03,18,52,70,32632,Spinach
Solapur,May,Loamy,42,31,30,6.8,15,65,43,30975,Spinach
Sangli,October,Loamy,43,29,39,7.3,23,54,38,40841,Spinach
Sangli,December,Red,61,35,38,6.63,21,59,69,54583,Spinach
Sangli,March,Red,52,28,25,6.66,19,84,63,39989,Spinach
Solapur,January,Loamy,54,33,26,6.28,18,65,77,39680,Spinach
Solapur,April,Loamy,45,32,20,6.92,16,73,56,46014,Spinach
Solapur,February,Black,65,22,23,7.0,18,59,34,30393,Spinach
Sangli,September,Black,69,33,30,6.35,17,77,71,54083,Spinach
Solapur,June,Loamy,50,21,25,6.93,16,70,65,61241,Spinach
Solapur,October,Red,68,30,30,6.67,24,40,50,63597,Spinach
Sangli,July,Black,48,20,23,7.34,24,54,65,32844,Spinach
Sangli,May,Black,54,34,35,6.72,23,80,30,68852,Spinach
Sangli,February,Red,55,37,21,6.5,15,55,64,45470,Spinach
Sangli,November,Red,56,23,36,7.11,23,72,43,41338,Spinach
Solapur,December,Loamy,56,23,29,6.08,17,57,78,38325,Spinach
Sangli,July,Red,64,31,28,6.42,16,64,46,45702,Spinach
Solapur,June,Red,41,25,28,6.05,23,63,76,41612,Spinach
Sangli,July,Red,45,22,23,6.01,19,78,36,68599,Spinach
Sangli,March,Loamy,41,34,20,6.12,20,52,71,44687,Spinach
Sangli,June,Red,40,31,29,6.77,21,75,30,33527,Spinach
Solapur,January,Red,54,25,24,6.01,23,79,58,40983,Spinach
Sangli,May,Loamy,55,20,29,6.64,16,42,65,68787,Spinach
Solapur,September,Black,67,35,28,7.41,15,66,41,33733,Spinach
Sangli,May,Black,40,36,27,7.21,18,52,56,38265,Spinach
Sangli,September,Black,42,22,20,6.75,24,78,62,30185,Spinach
Solapur,October,Loamy,45,26,26,6.84,19,54,59,57655,Spinach
Sangli,March,Loamy,62,34,23,6.6,24,57,67,44034,Spinach
Solapur,February,Red,52,26,39,6.93,22,43,65,36959,Spinach
Sangli,January,Black,42,25,32,7.09,23,47,46,62527,Spinach
Sangli,November,Loamy,63,35,33,7.29,20,59,74,68526,Spinach
Solapur,February,Red,66,22,29,6.02,22,49,69,69056,Spinach
Sangli,June,Black,45,26,34,6.35,22,64,60,46937,Spinach
Solapur,April,Black,47,31,34,7.13,24,70,79,44800,Spinach
Sangli,July,Black,59,29,25,6.98,24,73,35,65163,Spinach
Sangli,November,Black,48,31,37,6.13,16,41,37,65006,Spinach
Solapur,December,Red,47,38,22,6.75,23,70,54,32621,Spinach
Solapur,August,Loamy,68,32,32,7.28,15,58,32,37213,Spinach
Sangli,October,Black,68,27,37,6.35,21,50,38,58599,Spinach
Sangli,September,Loamy,64,34,28,6.05,15,77,57,39223,Spinach
Sangli,September,Loamy,43,37,30,6.01,22,42,47,67858,Spinach
Solapur,April,Black,67,37,34,6.79,20,45,76,46070,Spinach
Sangli,September,Black,50,21,35,6.43,21,45,51,61433,Spinach
Sangli,August,Black,53,33,39,7.12,17,40,58,42040,Spinach
Sangli,February,Red,45,32,20,6.15,15,49,30,39147,Spinach
Sangli,November,Black,56,23,26,7.36,19,45,63,35560,Spinach
Sangli,December,Red,49,23,22,6.48,20,71,52,49943,Spinach
Solapur,March,Loamy,52,21,20,6.15,17,48,57,43691,Spinach
Solapur,February,Red,48,25,20,6.31,23,52,52,39635,Spinach
Solapur,May,Red,63,23,36,6.02,16,74,43,30760,Spinach
Solapur,September,Red,58,35,30,6.19,15,41,77,54090,Spinach
Sangli,October,Red,58,29,38,6.89,16,47,79,52110,Spinach
Solapur,September,Loamy,46,37,25,6.53,20,57,78,41780,Spinach
Solapur,October,Red,58,23,29,7.21,19,74,66,62879,Spinach
Sangli,November,Red,52,38,25,6.16,18,76,48,48212,Spinach
Solapur,December,Red,58,29,20,7.13,18,80,47,64750,Spinach
Solapur,January,Loamy,58,26,37,6.96,19,51,54,46832,Spinach
Sangli,July,Loamy,50,37,33,6.38,19,43,73,32944,Spinach
Sangli,August,Black,40,22,27,7.08,23,59,60,31601,Spinach
Solapur,October,Loamy,66,29,38,6.59,23,56,38,60615,Spinach
Solapur,November,Black,53,21,29,6.48,17,70,40,60341,Spinach
Sangli,July,Black,66,22,28,6.92,20,56,32,60497,Spinach
Sangli,August,Red,49,30,35,6.78,22,57,56,44389,Spinach
Solapur,August,Black,60,38,21,6.11,24,57,32,60359,Spinach
Solapur,June,Loamy,61,38,30,6.82,19,48,76,39812,Spinach
Sangli,April,Black,56,21,39,6.54,16,82,39,41357,Spinach
Sangli,March,Black,64,33,30,6.08,18,56,32,43613,Spinach
Sangli,April,Red,49,21,33,7.38,24,54,66,37509,Spinach
Solapur,February,Loamy,41,32,33,7.07,18,79,44,43982,Spinach
Solapur,November,Black,48,39,22,6.14,22,55,65,61562,Spinach
Solapur,August,Loamy,58,33,28,7.26,23,75,40,58210,Spinach
Sangli,July,Red,56,29,36,6.1,20,45,36,56509,Spinach
Solapur,December,Red,44,24,39,6.13,24,54,55,51088,Spinach
Solapur,August,Loamy,48,22,23,6.96,20,53,77,52991,Spinach
Sangli,February,Red,46,34,28,6.38,22,55,55,45330,Spinach
Solapur,July,Red,64,39,22,6.92,16,70,78,39500,Spinach
Solapur,October,Black,61,25,30,6.65,21,51,41,43502,Spinach
Sangli,September,Red,66,31,37,6.52,18,51,78,45573,Spinach
Solapur,February,Red,55,20,29,6.29,23,73,53,52251,Spinach
Solapur,April,Red,63,23,24,6.39,18,84,33,64121,Spinach
Sangli,January,Black,47,26,24,7.34,15,62,42,61130,Spinach
Solapur,April,Red,60,32,31,6.55,21,80,32,30637,Spinach
Solapur,October,Black,56,32,33,6.74,16,78,70,47783,Spinach
Solapur,April,Red,58,24,28,6.69,17,80,39,49122,Spinach
Sangli,December,Red,47,35,36,6.85,20,83,79,49622,Spinach
Solapur,October,Red,66,33,25,6.05,20,65,41,62903,Spinach
Sangli,April,Red,47,28,32,6.34,15,58,46,47254,Spinach
Sangli,January,Loamy,59,33,36,6.74,16,66,75,45904,Spinach
Solapur,May,Loamy,58,33,33,6.73,19,63,63,53134,Spinach
Sangli,December,Black,66,29,37,6.4,16,59,61,37004,Spinach
Solapur,February,Loamy,40,20,37,7.4,18,75,60,56469,Spinach
Sangli,March,Red,52,26,23,7.17,22,76,74,36834,Spinach
Sangli,August,Red,52,24,32,6.23,24,74,54,30218,Spinach
Solapur,November,Red,65,22,36,6.61,15,57,70,52196,Spinach
Sangli,September,Black,41,38,35,7.03,19,52,64,37977,Spinach
Sangli,February,Red,45,37,25,7.02,19,78,42,55518,Spinach
Sangli,May,Loamy,40,22,37,6.13,22,41,33,52641,Spinach
Sangli,December,Black,65,32,34,6.64,16,69,50,34587,Spinach
Solapur,December,Loamy,40,21,35,7.08,16,55,49,30665,Spinach
Sangli,June,Black,51,29,24,6.44,19,61,35,43343,Spinach
Solapur,June,Black,44,36,36,7.12,20,46,51,30084,Spinach
Sangli,March,Black,54,37,29,6.16,21,42,30,66674,Spinach
Solapur,May,Loamy,42,23,36,7.44,18,70,31,53652,Spinach
Sangli,May,Loamy,41,34,30,6.78,18,69,62,66434,Spinach
Sangli,September,Red,62,33,20,6.82,23,56,43,51804,Spinach
Solapur,June,Loamy,41,27,25,7.21,16,77,72,53170,Spinach
Sangli,May,Red,41,34,35,7.3,22,75,57,67153,Spinach
Sangli,April,Loamy,57,25,37,6.59,16,80,58,65070,Spinach
Sangli,May,Black,46,27,34,7.38,18,75,47,30909,Spinach
Sangli,June,Black,55,37,20,6.08,15,60,54,57482,Spinach
Sangli,February,Black,40,27,29,7.45,16,80,31,51857,Spinach
Sangli,July,Red,58,34,38,6.13,16,50,73,63573,Spinach
Solapur,November,Black,49,23,28,6.19,19,72,34,51071,Spinach
Solapur,May,Black,68,37,25,6.97,24,70,40,50121,Spinach
Sangli,November,Loamy,64,32,39,6.79,21,83,58,43262,Spinach
Sangli,August,Loamy,56,20,27,7.27,24,66,37,63202,Spinach
Sangli,October,Loamy,42,23,35,7.5,23,59,74,67620,Spinach
Solapur,July,Black,55,36,25,7.36,18,43,69,63000,Spinach
Sangli,January,Black,65,21,29,6.98,15,63,42,60364,Spinach
Sangli,November,Loamy,50,29,26,6.22,15,53,64,30620,Spinach
Sangli,January,Black,42,34,27,6.2,24,69,38,38917,Spinach
Sangli,September,Red,58,37,24,6.45,18,82,56,55650,Spinach
Solapur,June,Black,62,29,33,6.97,21,71,73,64442,Spinach
Solapur,November,Red,52,27,27,7.28,24,52,38,51230,Spinach
Solapur,April,Red,56,28,31,7.28,18,51,35,36251,Spinach
Solapur,April,Black,60,22,21,7.36,23,81,72,45629,Spinach
Solapur,November,Black,43,21,38,7.16,15,83,40,60272,Spinach
Sangli,November,Loamy,68,26,21,6.34,20,65,69,39257,Spinach
Solapur,March,Red,48,28,25,6.75,22,83,39,42339,Spinach
Sangli,September,Loamy,44,25,36,6.49,22,61,42,36881,Spinach
Sangli,March,Red,67,22,21,7.18,20,46,33,60192,Spinach
Sangli,July,Red,48,39,23,6.68,19,49,47,58430,Spinach
Solapur,January,Black,44,27,39,6.25,17,84,57,39402,Spinach
Sangli,May,Red,56,24,37,6.08,20,46,54,35988,Spinach
Sangli,August,Loamy,48,38,38,6.66,18,70,46,59807,Spinach
Solapur,October,Red,42,38,27,7.31,24,45,63,50791,Spinach
Sangli,September,Loamy,52,25,25,6.26,22,44,40,32412,Spinach
Sangli,August,Loamy,51,22,24,6.88,22,76,78,31273,Spinach
Sangli,November,Loamy,48,25,21,6.29,19,71,41,35663,Spinach
Solapur,April,Red,40,30,35,6.75,16,78,59,39585,Spinach
Solapur,April,Loamy,62,28,31,7.32,21,78,52,39017,Spinach
Solapur,September,Loamy,46,38,36,6.76,19,63,50,61769,Spinach
Solapur,September,Red,58,23,20,6.29,18,48,37,44102,Spinach
Sangli,July,Loamy,43,33,28,6.28,23,65,30,38299,Spinach
Solapur,September,Loamy,61,23,35,7.33,19,61,72,56944,Spinach
Solapur,August,Loamy,69,37,36,6.7,18,49,30,68529,Spinach
Solapur,June,Black,42,36,31,6.77,18,81,36,62561,Spinach
Solapur,June,Red,46,36,31,6.54,16,82,31,53586,Spinach
Sangli,January,Black,59,27,38,6.62,24,76,59,62862,Spinach
Solapur,November,Black,48,24,21,7.42,16,65,54,40923,Spinach
Sangli,May,Loamy,63,29,39,6.31,18,82,38,62969,Spinach
Solapur,June,Loamy,49,25,20,6.24,20,69,50,68655,Spinach
Sangli,July,Red,61,33,39,6.01,18,79,40,60796,Spinach
Sangli,June,Black,45,34,32,6.44,16,50,42,53136,Spinach
Sangli,May,Red,40,26,23,7.09,23,54,60,40366,Spinach
Sangli,September,Black,59,37,23,7.02,17,72,56,41004,Spinach
Solapur,January,Black,48,24,34,7.25,22,84,39,47467,Spinach
Sangli,May,Loamy,59,29,29,7.31,19,67,42,54763,Spinach
Sangli,April,Loamy,50,25,20,6.24,18,44,44,57946,Spinach
Sangli,January,Red,59,29,39,6.18,17,76,32,54935,Spinach
Solapur,December,Red,51,33,26,6.1,19,47,41,64062,Spinach
Solapur,December,Loamy,47,26,37,6.57,24,43,32,59104,Spinach
Sangli,March,Loamy,54,25,31,7.18,18,68,49,64313,Spinach
Sangli,November,Red,53,23,31,6.32,21,60,37,39849,Spinach
Solapur,August,Loamy,64,36,29,6.65,17,60,37,51773,Spinach
Sangli,July,Red,50,25,39,6.69,19,84,33,33550,Spinach
Sangli,November,Red,40,31,37,6.17,15,75,47,53726,Spinach
Solapur,March,Loamy,45,34,34,6.87,22,61,30,65065,Spinach
Solapur,July,Black,52,30,23,6.82,20,83,45,64693,Spinach
Sangli,March,Loamy,65,23,24,6.95,17,49,46,36121,Spinach
Sangli,December,Loamy,46,37,38,6.59,20,78,71,38951,Spinach
Sangli,December,Red,59,29,24,6.49,21,66,71,43220,Spinach
Solapur,May,Loamy,58,29,27,6.6,20,73,64,55994,Spinach
Sangli,October,Loamy,54,25,20,7.36,22,82,69,59461,Spinach
Solapur,February,Black,55,25,20,7.34,20,80,68,36881,Spinach
Solapur,May,Black,46,33,35,7.05,21,49,50,42741,Spinach
Solapur,January,Red,66,33,23,6.65,21,45,60,34944,Spinach
Solapur,November,Black,43,28,35,6.91,22,74,74,47916,Spinach
Solapur,May,Red,40,25,22,6.62,24,64,46,55420,Spinach
Sangli,November,Red,46,25,20,6.62,18,74,35,65963,Spinach
Sangli,December,Black,65,30,39,6.38,19,84,32,34338,Spinach
Sangli,June,Black,64,36,25,6.85,17,83,31,45164,Spinach
Solapur,April,Red,40,20,37,7.22,20,66,54,58251,Spinach
Solapur,June,Red,64,36,31,6.32,19,55,46,39916,Spinach
Solapur,August,Loamy,60,21,27,6.77,24,43,72,35480,Spinach
Sangli,March,Loamy,50,22,37,7.3,22,82,53,53519,Spinach
Sangli,November,Red,41,29,34,6.52,15,57,43,42491,Spinach
